,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
228,2015/11/10,0.62,0.641,0.615,0.632,122.19,194295000,,strategy3data,0,0.5532,0.502466667,0.050733333,10825
229,2015/11/11,0.628,0.647,0.62,0.64,102.01,161951000,,strategy3data,0,0.5666,0.509566667,0.057033333,10805
230,2015/11/12,0.642,0.646,0.62,0.63,85.07,134727300,,strategy3data,0,0.5783,0.516,0.0623,10720
231,2015/11/13,0.62,0.624,0.601,0.613,74.66,121359900,,strategy3data,0,0.5881,0.522466667,0.065633333,10557.5
232,2015/11/16,0.595,0.634,0.59,0.634,63.57,103736300,,strategy3data,0,0.6009,0.529366667,0.071533333,10460
233,2015/11/17,0.642,0.66,0.629,0.63,103.83,160852200,,strategy3data,0,0.6135,0.536433333,0.077066667,10492.5
234,2015/11/18,0.63,0.632,0.614,0.615,68.21,109547300,,strategy3data,0,0.6196,0.542933333,0.076666667,10495
235,2015/11/19,0.618,0.643,0.618,0.638,56.4,89960600,,strategy3data,0,0.6266,0.549233333,0.077366667,10660
236,2015/11/20,0.642,0.649,0.63,0.642,69.01,107864000,,strategy3data,0,0.6304,0.5554,0.075,10650
237,2015/11/23,0.639,0.648,0.626,0.631,65.31,102370800,,strategy3data,0,0.6305,0.559766667,0.070733333,10580
238,2015/11/24,0.63,0.642,0.62,0.641,57.77,91730200,,strategy3data,0,0.6314,0.564533333,0.066866667,10562.5
239,2015/11/25,0.64,0.657,0.634,0.656,67.95,105008000,,strategy3data,0,0.633,0.5701,0.0629,10645
240,2015/11/26,0.659,0.665,0.645,0.651,66.68,101451900,,strategy3data,0,0.6351,0.5746,0.0605,10567.5
241,2015/11/27,0.645,0.647,0.592,0.598,84.97,136490200,,strategy3data,0,0.6336,0.577266667,0.056333333,10122.5
242,2015/11/30,0.59,0.611,0.574,0.605,70.47,118327900,,strategy3data,0,0.6307,0.580466667,0.050233333,9922.5
243,2015/12/1,0.605,0.616,0.596,0.606,54.57,90383000,,strategy3data,0,0.6283,0.5833,0.045,10080
244,2015/12/2,0.604,0.616,0.591,0.616,63.58,105227600,,strategy3data,0,0.6284,0.588166667,0.040233333,10587.5
245,2015/12/3,0.613,0.63,0.611,0.628,57.66,92830200,,strategy3data,0,0.6274,0.592533333,0.034866667,10582.5
246,2015/12/4,0.623,0.627,0.613,0.617,47.75,77053900,,strategy3data,0,0.6249,0.595833333,0.029066667,10285
247,2015/12/7,0.618,0.623,0.612,0.618,35.19,56951800,,strategy3data,0,0.6236,0.598966667,0.024633333,10270
248,2015/12/8,0.614,0.614,0.595,0.595,45.82,75834400,,strategy3data,0,0.619,0.6012,0.0178,10132.5
249,2015/12/9,0.596,0.602,0.592,0.599,27.59,46210700,,strategy3data,0,0.6133,0.6043,0.009,10235
250,2015/12/10,0.601,0.609,0.599,0.603,38.45,63562800,,strategy3data,0,0.6085,0.6073,0.0012,10087.5
251,2015/12/11,0.599,0.602,0.592,0.596,31.6,53001700,,strategy3data,0,0.6083,0.61,-0.0017,10135
252,2015/12/14,0.592,0.63,0.59,0.627,57.62,94824300,,strategy3data,0,0.6105,0.614033333,-0.003533333,10395
253,2015/12/15,0.628,0.636,0.622,0.626,55.7,88412400,,strategy3data,0,0.6125,0.6181,-0.0056,10217.5
254,2015/12/16,0.628,0.637,0.626,0.631,48.05,76122900,,strategy3data,0,0.614,0.620666667,-0.006666667,10260
255,2015/12/17,0.633,0.667,0.633,0.667,79.49,121065900,,strategy3data,0,0.6179,0.623966667,-0.006066667,10547.5
256,2015/12/18,0.663,0.677,0.658,0.665,60.6,91107300,,strategy3data,0,0.6227,0.626,-0.0033,10600
257,2015/12/21,0.662,0.69,0.662,0.688,54.24,79861600,,strategy3data,0,0.6297,0.627933333,0.001766667,10945
258,2015/12/22,0.69,0.707,0.684,0.705,63.71,91919600,,strategy3data,0,0.6407,0.630366667,0.010333333,10932.5
259,2015/12/23,0.705,0.708,0.688,0.688,62.39,89172000,,strategy3data,0,0.6496,0.631966667,0.017633333,10900
260,2015/12/24,0.688,0.689,0.67,0.685,52.73,77602500,,strategy3data,0,0.6578,0.6338,0.024,10925
261,2015/12/25,0.689,0.692,0.681,0.685,44.8,65296100,,strategy3data,0,0.6667,0.6362,0.0305,10987.5
262,2015/12/28,0.686,0.69,0.659,0.659,62.35,92233100,,strategy3data,0,0.6699,0.637033333,0.032866667,10600
263,2015/12/29,0.655,0.667,0.653,0.667,46.66,70795200,,strategy3data,0,0.674,0.638266667,0.035733333,10745
264,2015/12/30,0.665,0.669,0.658,0.664,43.85,66090000,,strategy3data,0,0.6773,0.6399,0.0374,10777.5
265,2015/12/31,0.665,0.667,0.642,0.643,51.91,79525000,,strategy3data,0,0.6749,0.640066667,0.034833333,10470
266,2016/1/4,0.64,0.641,0.579,0.579,63.94,106565600,,strategy3data,0,0.6663,0.637966667,0.028333333,9730
267,2016/1/5,0.541,0.575,0.539,0.566,96.27,173328400,,strategy3data,0,0.6541,0.6358,0.0183,10022.5
268,2016/1/6,0.562,0.585,0.562,0.581,56.73,99350200,,strategy3data,0,0.6417,0.6338,0.0079,10045
269,2016/1/7,0.567,0.567,0.523,0.523,23.37,43331600,,strategy3data,0,0.6252,0.629366667,-0.004166667,9400
270,2016/1/8,0.485,0.535,0.485,0.508,98.77,193233100,,strategy3data,0,0.6075,0.6246,-0.0171,9785
271,2016/1/11,0.487,0.488,0.457,0.457,82.53,175088700,,strategy3data,0,0.5847,0.6199,-0.0352,9265
272,2016/1/12,0.411,0.441,0.411,0.42,188.24,449465200,,strategy3data,0,0.5608,0.613733333,-0.052933333,9375
273,2016/1/13,0.423,0.426,0.392,0.393,154.44,375102300,,strategy3data,0,0.5334,0.606633333,-0.073233333,9250
274,2016/1/14,0.38,0.423,0.375,0.419,137,345665100,0,strategy3data,1,0.5089,0.600066667,-0.091166667,9370
275,2016/1/15,0.413,0.42,0.391,0.397,125.24,308446700,-0.0227,strategy3data,1,0.4843,0.592366667,-0.108066667,9100
276,2016/1/18,0.391,0.419,0.39,0.407,115.41,284277800,-0.0066,strategy3data,1,0.4671,0.585366667,-0.118266667,9167.5
277,2016/1/19,0.405,0.43,0.403,0.426,128.23,307220200,0.0044,strategy3data,1,0.4531,0.578966667,-0.125866667,9480
278,2016/1/20,0.423,0.426,0.411,0.414,112.2,268323700,0.0077,strategy3data,1,0.4364,0.572933333,-0.136533333,9180
279,2016/1/21,0.408,0.42,0.392,0.394,116.5,286037600,-0.0226,strategy3data,1,0.4235,0.5661,-0.1426,9030
280,2016/1/22,0.402,0.411,0.393,0.407,118.68,295615700,-0.0048,strategy3data,1,0.4134,0.559566667,-0.146166667,9150
281,2016/1/25,0.41,0.414,0.404,0.408,87.41,213966100,-0.0066,strategy3data,1,0.4085,0.5533,-0.1448,9190
282,2016/1/26,0.403,0.404,0.371,0.375,134.92,345521100,-0.0476,strategy3data,1,0.404,0.5449,-0.1409,8827.5
283,2016/1/27,0.378,0.387,0.369,0.383,133.75,354178100,-0.0217,strategy3data,1,0.403,0.5368,-0.1338,8770
284,2016/1/28,0.379,0.385,0.368,0.369,121.86,322033200,-0.0431,strategy3data,1,0.398,0.528066667,-0.130066667,8645
285,2016/1/29,0.373,0.392,0.371,0.388,120.46,315786000,-0.0132,strategy3data,1,0.3971,0.518766667,-0.121666667,8802.5
286,2016/2/1,0.386,0.388,0.379,0.384,93.24,242603600,0.005,strategy3data,1,0.3948,0.5094,-0.1146,8540
287,2016/2/2,0.384,0.401,0.384,0.397,99.93,252774600,0.008,strategy3data,1,0.3919,0.4997,-0.1078,8800
288,2016/2/3,0.392,0.406,0.39,0.403,102.34,258580500,0.0336,strategy3data,1,0.3908,0.489633333,-0.098833333,8680
289,2016/2/4,0.406,0.42,0.405,0.416,144.73,349724200,0.0494,strategy3data,1,0.393,0.480566667,-0.087566667,8800
290,2016/2/5,0.416,0.419,0.408,0.409,69.62,168657900,0.0396,strategy3data,1,0.3932,0.471366667,-0.078166667,8750
291,2016/2/15,0.396,0.405,0.393,0.402,79.16,198715900,0.0302,strategy3data,1,0.3926,0.461933333,-0.069333333,8692.5
292,2016/2/16,0.402,0.418,0.402,0.417,120.12,290960100,0.0377,strategy3data,1,0.3968,0.453866667,-0.057066667,8940
293,2016/2/17,0.416,0.419,0.406,0.417,127.57,308270300,0.0399,strategy3data,1,0.4002,0.445533333,-0.045333333,8917.5
294,2016/2/18,0.421,0.424,0.414,0.414,121.85,291483200,0.0225,strategy3data,1,0.4047,0.4372,-0.0325,9030
295,2016/2/19,0.414,0.422,0.411,0.418,117.16,281507100,0.0349,strategy3data,1,0.4077,0.4297,-0.022,8990
296,2016/2/22,0.424,0.435,0.422,0.435,130.05,303531700,0.0474,strategy3data,1,0.4128,0.4249,-0.0121,9222.5
297,2016/2/23,0.435,0.436,0.421,0.429,114.15,267226300,0.0527,strategy3data,1,0.416,0.420333333,-0.004333333,9040
298,2016/2/24,0.425,0.43,0.414,0.429,130.5,308199000,0.0432,strategy3data,1,0.4186,0.415266667,0.003333333,9140
